Freq [GHz],RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'
11.66,0.00780357
11.67,0.008008836
11.68,0.008248163
11.69,0.008520804
11.7,0.008825784
11.71,0.009161913
11.72,0.009527778
11.73,0.009921751
11.74,0.010341988
11.75,0.01078644
11.76,0.011252857
11.77,0.011738801
11.78,0.012241651
11.79,0.012758624
11.8,0.013286779
11.81,0.013823045
11.82,0.014364229
11.83,0.014907035
11.84,0.015448091
11.85,0.015983963
11.86,0.016511177
11.87,0.017026247
11.88,0.017525687
11.89,0.018006044
11.9,0.018463911
11.91,0.018895955
11.92,0.019298941
11.93,0.019669747
11.94,0.020005386
11.95,0.020303033
11.96,0.02056003
11.97,0.020773928
11.98,0.020942473
11.99,0.021063647
12,0.021135679
12.01,0.021157052
12.02,0.021126526
12.03,0.021043139
12.04,0.020906234
12.05,0.020715455
12.06,0.020470767
12.07,0.020172458
12.08,0.019821154
12.09,0.019417809
12.1,0.018963729
12.11,0.01846056
12.12,0.017910297
12.13,0.01731528
12.14,0.01667819
12.15,0.016002051
12.16,0.015290214
12.17,0.014546359
12.18,0.013774473
12.19,0.012978844
12.2,0.012164046
12.21,0.011334913
12.22,0.010496526
12.23,0.009654185
12.24,0.008813388
12.25,0.007979799
12.26,0.007159218
12.27,0.006357547
12.28,0.005580763
12.29,0.004834867
12.3,0.00412586
12.31,0.003459689
12.32,0.002842219
12.33,0.002279175
12.34,0.001776113
12.35,0.001338368
12.36,0.00097101
12.37,0.000678807
12.38,0.000466179
12.39,0.000337156
12.4,0.000295345
12.41,0.000343889
12.42,0.000485437
12.43,0.000722116
12.44,0.001055501
12.45,0.001486597
12.46,0.002015821
12.47,0.002642989
12.48,0.003367308
12.49,0.004187378
12.5,0.005101188
12.51,0.006106127
12.52,0.007198995
12.53,0.008376026
12.54,0.009632897
12.55,0.010964766
12.56,0.012366302
12.57,0.013831707
12.58,0.015354766
12.59,0.016928878
12.6,0.018547108
12.61,0.020202218
12.62,0.02188673
12.63,0.023592956
12.64,0.025313058
12.65,0.0270391
12.66,0.028763079
12.67,0.030476991
12.68,0.032172876
12.69,0.033842855
12.7,0.035479188
12.71,0.037074307
12.72,0.038620873
12.73,0.040111789
12.74,0.041540272
12.75,0.042899862
12.76,0.044184463
12.77,0.045388378
12.78,0.046506324
12.79,0.047533466
12.8,0.048465426
12.81,0.049298315
12.82,0.050028734
